,SMILES,measurement_type,measurement_value,Kinase_name
1,C#CCCOC(=O)N1CCC(n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)C(C#N)C1,pIC50,8.05,JAK1
3,C#CCN(c1ccc(C#N)cn1)C1CCN(c2ncnc3[nH]ccc23)C1,pIC50,10.26,JAK1
5,C#CCNCC1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,pIC50,8.07,JAK1
11,C=C1Cn2c3ccccc3c3c4c(c5c6ccccc6n(c5c32)C1)C(=O)NC4,pIC50,7.14,JAK1
12,C=C1Cn2c3ccccc3c3c4c(c5c6ccccc6n(c5c32)C1)C(=O)NC4,pIC50,7.14,JAK3
13,C=CC(=O)N1CCCC(n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,pIC50,7.98,JAK1
15,C=CC(=O)Nc1ccc(CNc2nc(Nc3ccc(N4CCOCC4)cc3)ncc2Cl)cc1,pIC50,9.06,JAK1
17,C=CC(=O)Nc1cccc(CNc2nc(Nc3cc(F)c(N4CCC(O)CC4)c(F)c3)ncc2Cl)c1,pIC50,8.13,JAK1
20,C=CC(=O)Nc1cccc(CNc2nc(Nc3cc(F)c(N4CCOCC4)c(F)c3)ncc2Cl)c1,pIC50,7.7,JAK1
22,C=CC(=O)Nc1cccc(CNc2nc(Nc3cc(F)c(OCCN4CCOCC4)c(F)c3)ncc2Cl)c1,pIC50,8.21,JAK1
29,C=CC(=O)Nc1cccc(CNc2nc(Nc3ccc(N4CCOCC4)cc3)ncc2Cl)c1,pIC50,8.89,JAK1
33,C=CC(=O)Nc1cccc(CNc2nc(Nc3cnn(C(F)F)c3)ncc2Cl)c1,pIC50,8.85,JAK1
46,C=CC(=O)Nc1cccc(CNc2nc(Nc3cnn(CCOCCOCCOCCNC(=O)CCCCC4SCC5NC(=O)NC54)c3)ncc2Cl)c1,pIC50,6.38,JAK2
49,C=CC(=O)Nc1cccc(CNc2nc(Nc3cnoc3)ncc2Cl)c1,pIC50,8.54,JAK1
67,C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OC)c23)c1,pIC50,8.7,JAK1
75,C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4cccc(F)c4)c23)c1,pIC50,9.23,JAK1
84,C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4cnc[nH]4)c23)c1,pIC50,8.12,JAK3
85,C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4cnco4)c23)c1,pIC50,8.3,JAK1
88,C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4cncs4)c23)c1,pIC50,8.74,JAK3
97,CC(=NNC(=N)N)c1cc(NC(=O)c2cccc(C(=O)Nc3cc(C(C)=NNC(=N)N)cc(C(C)=NNC(=N)N)c3)c2)cc(C(C)=NNC(=N)N)c1,pKi,6.7,JAK2
98,CC(=NNC(=N)N)c1cc(NC(=O)c2cccc(C(=O)Nc3cc(C(C)=NNC(=N)N)cc(C(C)=NNC(=N)N)c3)c2)cc(C(C)=NNC(=N)N)c1,pKi,6.7,JAK3
101,[C-]#[N+]C1CCCCC1n1cc(C(N)=O)c(Nc2ccc(C(C)=NOC)cc2)n1,pIC50,9.46,JAK1
107,CC(=O)N1CC(CC#N)(n2cc(C(N)=O)c(Nc3ccccc3)n2)C1,pIC50,6.29,JAK2
108,CC(=O)N1CC(CC#N)(n2cc(C(N)=O)c(Nc3ccccc3)n2)C1,pIC50,7.03,JAK1
113,CC(=O)N1CCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,pIC50,10.4,JAK3
127,CC(=O)N1CCC(Nc2c(C(N)=O)cnc3[nH]ccc23)CC1,pIC50,6.19,JAK2
128,CC(=O)N1CCC(Nc2c(C(N)=O)cnc3[nH]ccc23)CC1,pIC50,6.47,JAK1
132,CC(=O)N1CCC2(CCC(Nc3nc(Nc4cnn(C)c4)ncc3Cl)CC2)CC1,pIC50,8.4,TYK2
144,CC(=O)N1CCCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,pIC50,10.89,JAK3
149,CC(=O)N1CCCC(Nc2ncccc2-c2cnc3cc[nH]c3n2)C1,pIC50,8.0,JAK2
151,CC(=O)N1CCCC(Nc2ncccc2-c2cnc3cc[nH]c3n2)C1,pIC50,8.0,JAK3
156,CC(=O)N1CCCC12CCCN(c1ncnc3[nH]ccc13)C2,pIC50,6.6,JAK3
165,CC(=O)N1CCN(C2CCC(CC#N)(n3cc(C(N)=O)c(Nc4ccc(F)cc4)n3)CC2)CC1,pIC50,6.65,JAK2
168,CC(=O)N1CCN(Cc2ccc(-c3cccc4nc(NC(=O)C5CC5)nn34)cc2)CC1,pIC50,6.48,JAK1
169,CC(=O)N1CCN(S(=O)(=O)c2ccc(Nc3nn(C4CCCCC4C#N)cc3C(N)=O)cc2)CC1,pIC50,9.0,JAK2
174,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(N3CCN(C(C)=O)CC3)ccc2OC)ncc1Br,pKi,7.1,TYK2
187,CC(=O)NCC(=O)N1C2CCC1c1cc(Nc3ncc(C(F)(F)F)c(NC4CCC4)n3)ccc12,pKi,8.4,JAK2
191,CC(=O)NCC1CCCN(S(=O)(=O)CC2CCC(N(C)c3ncnc4[nH]ccc34)CC2)C1,pIC50,8.78,JAK1
192,CC(=O)NCC1CCCN(S(=O)(=O)CC2CCC(N(C)c3ncnc4[nH]ccc34)CC2)C1,pIC50,8.78,JAK3
201,CC(=O)Nc1cc2c(NC3CCC(C)(O)C3(C)C)c(C(N)=O)cnn2c1,pIC50,9.05,JAK3
208,CC(=O)Nc1cccc(CNc2c(Nc3ccc4[nH]ncc4c3)c(=O)c2=O)c1,pKi,6.4,JAK2
226,CC(=O)SCC1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,pIC50,7.26,JAK3
232,CC(=O)c1ccc(Nc2nn(C3CCCCC3C#N)cc2C(N)=O)cc1,pIC50,9.52,JAK1
239,CC(C#N)C1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,pIC50,8.17,JAK2
245,CC(NC(=O)c1c[nH]c2ncc(C3CC3)nc12)C(=O)N(C)C,pIC50,6.98,JAK3
255,CC(NC(=O)c1c[nH]c2ncc(-c3ncn4cc(F)cc(F)c34)nc12)C(=O)N1CC(C#N)C1,pIC50,9.0,JAK1
261,CC(NC(=O)c1c[nH]c2ncc(-c3nn(C)c4cc(C#N)ccc34)nc12)C(=O)N1CC(C#N)C1,pIC50,8.64,JAK1
264,CC(NC(=O)c1c[nH]c2ncc(-c3nn(C)c4cc(C(C)(C)C)ccc34)nc12)C(=O)N1CC(C#N)C1,pIC50,8.0,JAK1
270,CC(NC(=O)c1c[nH]c2ncc(-c3nn(C)c4cc(Cl)ccc34)nc12)C(=O)N1CC(C#N)C1,pIC50,7.51,JAK1
272,CC(NC(=O)c1c[nH]c2ncc(-c3nn(C)c4cc(F)ccc34)nc12)C(=O)N1CC(C#N)C1,pIC50,7.92,JAK2
278,CC(NC(=O)c1c[nH]c2ncc(-c3ncn4cc(F)ccc34)nc12)C(=O)N1CC(C#N)C1,pIC50,8.23,JAK2
283,CC(NC(=O)c1c[nH]c2ncc(-c3nn(C)c4ccccc34)nc12)C(=O)N1CC(C#N)C1,pIC50,8.54,JAK3
285,COc1cc(-c2cnc3[nH]cc(C(=O)NC(C)C(=O)N4CC(C#N)C4)c3n2)cc(OC)c1OC,pIC50,9.4,JAK1
297,CC(O)C(=O)N1CC2CC(N(C)c3ncnc4[nH]ccc34)CC2C1,pIC50,9.7,JAK1
303,CC(NC(=O)c1c[nH]c2ncc(C3CC3)nc12)C(=O)N1CCC(C#N)C1,pIC50,7.64,JAK2
306,CC(F)(F)C(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccnc(F)c3)n2)CC1,pIC50,8.7,JAK2
310,CC(NC(=O)c1c[nH]c2ncc(C3CC3)nc12)C(=O)N1CCC1,pIC50,6.46,JAK2
313,CC(NC(=O)c1c[nH]c2ncc(C3CC3)nc12)C(=O)N1CCCC1,pIC50,6.92,JAK2
315,CC(NC(=O)c1c[nH]c2ncc(C3CC3)nc12)C(=O)N1CCCC1,pIC50,7.31,JAK3
324,CC(NC(=O)c1c[nH]c2ncc(C3CC3)nc12)C(=O)N1CCCCC1,pIC50,7.16,JAK3
327,CC(N)C(=O)Nc1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,pIC50,6.53,JAK3
343,CC(Nc1ccc(C(N)=O)c2[nH]c3cc(-c4cnn(C)c4)ccc3c12)C(C)(C)C,pIC50,6.46,JAK3
349,CC(Nc1nc(-n2cnc3ccncc32)nc2c1cc(C(=O)N1CCN(C)CC1)n2C)C(C)(C)O,pIC50,6.85,JAK3
352,CC(OC(=O)N1CCC(n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)C(C#N)C1)C(F)(F)F,pIC50,7.82,JAK1
363,CNC(=O)c1cnc(N)c2cc(-c3ccc(C(C)(C)C#N)cc3)sc12,pIC50,6.84,TYK2
382,Cn1c(C(=O)NCCN2CCCC2)cc2c(-c3ccc(NC(=O)C(C)(C)C)cc3)ncnc21,pIC50,6.02,JAK3
390,Cn1nc(-c2cnc3[nH]cc(C(=O)NC(C(=O)N4CC(C#N)C4)C(C)(C)C)c3n2)c2ccc(Cl)cc21,pIC50,9.1,JAK1
394,CC(C)(C)CC(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccnc(F)c3)n2)CC1,pIC50,7.36,JAK2
401,CN1CCN(c2ncc(-c3cnc4[nH]ccc4n3)c(NC3CCCN(S(=O)(=O)CCC(C)(C)C)C3)n2)CC1,pKi,11.96,JAK3
405,CSc1ncc(-c2cnc3[nH]ccc3n2)c(NC2CCCN(S(=O)(=O)CCC(C)(C)C)C2)n1,pKi,11.92,JAK3
408,CC(C)(C)COC(=O)N1CC(CC#N)(n2cc(C(N)=O)c(Nc3ccccc3)n2)C1,pIC50,6.43,JAK2
419,CC(C)(C)CS(=O)(=O)N1CCCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,pIC50,11.62,JAK3
424,CC(C)(C)NC(=O)C1CCC(n2cc(C(N)=O)c(Nc3ccc(Cl)cc3)n2)C(C#N)C1,pIC50,7.33,JAK1
428,CC(C)(C)NC1CCC(n2cc(C(N)=O)c(Nc3ccc(C(O)C(F)(F)F)cc3)n2)C(C#N)C1,pIC50,7.64,JAK2
430,CC(C)(C)NC1CCC(n2cc(C(N)=O)c(Nc3ccc(C(F)(F)F)cc3)n2)C(C#N)C1,pIC50,7.59,JAK2
432,CC(C)(C)NC1CCC(n2cc(C(N)=O)c(Nc3ccc(Cl)cc3)n2)C(C#N)C1,pIC50,7.74,JAK2
433,CC(C)(C)NC1CCC(n2cc(C(N)=O)c(Nc3ccc(Cl)cc3)n2)C(C#N)C1,pIC50,9.0,JAK1
436,CC(C)(C)NCC1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,pIC50,7.35,JAK2
437,CC(C)(C)NCC1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,pIC50,7.92,JAK1
438,CC(C)(C)NCC1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,pIC50,6.31,TYK2
