,SMILES,measurement_type,measurement_value,Kinase_name
7549,Brc1ncc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)s1,pIC50,8.64,JAK2
1814,CC1CCC(N(C)c2ncnc3[nH]ccc23)CC1,pIC50,6.43,JAK1
4525,CN1CCN(C(=O)Cn2cc(NC(=O)c3cnn4cccnc34)c(-c3cc(Cl)ccc3OC(F)F)n2)CC1CO,pKi,8.97,JAK2
2240,CCCCCCCCCCCCOc1ccc(NC(=N)N)cc1NC(=N)N,pKi,6.0,JAK2
5756,Cc1nn(-c2ccnc(Nc3ccc4c(c3)c(Cl)c(C)n4C)n2)cc1CN1CC(O)C1,pIC50,7.11,JAK1
5309,CS(=O)(=O)N1CCC(Nc2c(C(N)=O)cnc3[nH]ccc23)CC1,pIC50,6.72,JAK2
2762,CCOCCOC1CCN(S(=O)(=O)CC2CCC(N(C)c3ncnc4[nH]ccc34)CC2)C1,pIC50,8.2,JAK1
1550,CC1(C)CCCC1Nc1c(C(N)=O)cnn2cccc12,pIC50,8.3,JAK1
200,CC(=O)Nc1cc2c(NC3CCC(C)(O)C3(C)C)c(C(N)=O)cnn2c1,pIC50,9.05,JAK1
4985,C=CC(=O)Nc1cccc(CNc2nc(Nc3ccc(N4CCNCC4)cc3OC)ncc2C2CC2)c1,pIC50,6.66,JAK1
4601,CN1Cc2ccc(Nc3nc4c(C#Cc5ccccc5N(C)S(C)(=O)=O)cccn4n3)cc2C1,pIC50,6.4,JAK1
7523,Fc1cc(C(F)(F)F)cc(F)c1CN1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,pIC50,6.02,TYK2
3999,CN(c1ccncn1)C1CCN(c2ncnc3[nH]ccc23)C1,pIC50,10.26,JAK1
2703,CCOC(=O)c1c[nH]c2ncnc(-c3cccc(NC(=O)C4(C)CO4)c3)c12,pIC50,10.25,JAK1
9456,Fc1ccccc1CN1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,pIC50,7.85,JAK2
8030,N#CCC1(n2cc(C(N)=O)c(Nc3cccc(-c4cc[nH]n4)c3)n2)CCN(C(=O)OCC(F)(F)F)CC1,pIC50,9.4,JAK1
8156,N#CC1CC(NC2CCC2)CCC1n1cc(C(N)=O)c(Nc2ccc(C(F)(F)F)cc2)n1,pIC50,8.7,JAK1
3407,CN(CC1CCC(N2CN(CC#N)C(=O)c3cnc4[nH]ccc4c32)CC1)CC(F)(F)F,pIC50,9.05,JAK1
3139,CN(C)C(=O)N1CCC(CN2CC3CN(C(=O)Cn4cc(NC(=O)c5cnn6cccnc56)c(-c5cc(Cl)ccc5OC(F)F)n4)CC3C2)CC1,pKi,9.08,JAK1
8978,Fc1ccc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)cn1,pIC50,7.82,JAK2
7663,O=C(Nc1nccc2nc(-c3c(Cl)cccc3Cl)sc12)C1CC1,pKi,9.3,JAK2
2653,CCOC(=O)c1c[nH]c2ncnc(-c3ccc4[nH]ncc4c3)c12,pIC50,8.19,JAK1
6879,N#CCN1CN(C2CCC(CNCC(F)(F)F)CC2)c2c(cnc3[nH]ccc23)C1=O,pIC50,7.8,JAK3
103,CC(=O)C1=CCn2c3ccccc3c3c4c(c5c6ccccc6n(c5c32)C1)C(=O)NC4=O,pIC50,8.15,JAK3
4581,CN1CN(C2CCC(CNCC(F)F)CC2)c2c(cnc3[nH]ccc23)C1=O,pIC50,7.55,JAK3
8152,N#CC1CC(NC2CC2)CCC1n1cc(C(N)=O)c(Nc2ccc(C(F)(F)F)cc2)n1,pIC50,9.05,JAK1
73,C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4ccc(F)cc4)c23)c1,pIC50,8.82,JAK1
3914,CN(c1ncnc2[nH]ccc12)C1CCC(CS(=O)(=O)N2CCS(=O)(=O)CC2)CC1,pIC50,7.71,JAK1
5336,CS(=O)(=O)N1CCCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,pIC50,6.95,JAK1
2933,CCc1nc(NC2CCCC2C#N)c2cc[nH]c(=O)c2n1,pKi,7.96,TYK2
10379,Nc1nn2cccnc2c1C(=O)Nc1cn(C2CCN(CCCC(=O)N3CCOCC3)CC2)nc1-c1cc(Cl)ccc1OC(F)F,pKi,9.85,JAK2
10666,O=C(Nc1cn(CC(=O)N2CCN(N3CCOCC3)CC2)nc1-c1cc(Cl)ccc1OC(F)F)c1cnn2cccnc12,pKi,9.05,JAK2
5715,Cc1c(C=O)c(O)n2c(nc3ccccc32)c1C#N,pKi,7.0,JAK3
3872,CN(c1ncnc2[nH]ccc12)C1CCC(CS(=O)(=O)N2CCCC(Cc3ccccn3)C2)CC1,pIC50,7.95,JAK1
1823,CC1CCC(C(=O)CC#N)CC1N(C)c1ncnc2[nH]ccc12,pIC50,6.75,TYK2
5273,CS(=O)(=O)CCN1CC2CN(C(=O)Cn3cc(NC(=O)c4cnn5cccnc45)c(-c4cc(Cl)ccc4OC(F)F)n3)CC2C1,pKi,9.28,JAK2
3699,COC(=O)NC1CN(S(=O)(=O)CC2CCC(N(C)c3ncnc4[nH]ccc34)CC2)C1,pIC50,7.96,JAK3
4786,COC(=O)c1cncc(Nc2nn(C3CCCCC3C#N)cc2C(N)=O)c1,pIC50,7.05,JAK2
489,CC(C)(C)OC(=O)N1CC(CC#N)(n2cc(C(N)=O)c(Nc3ccc(S(C)(=O)=O)cc3)n2)C1,pIC50,9.22,JAK1
5163,COc1ccc2cc1COCC=CCOCc1cc(ccc1OCCN1CCCC1)Nc1nccc-2n1,pIC50,6.74,TYK2
997,CC(C)CS(=O)(=O)N1CCCC(Nc2nc(S(C)(=O)=O)ncc2-c2cnc3[nH]ccc3n2)C1,pIC50,10.19,JAK2
3506,CN(CCc1ccccc1)Cc1nc(-c2cc(Cl)ccc2OC(F)F)c(NC(=O)c2cnn3cccnc23)s1,pKi,7.99,JAK2
1287,CC(Nc1nc(-n2cnc3ccncc32)nc2c1cc(C(=O)N1CCN(C)CC1)n2C)c1ccccc1,pIC50,7.66,JAK1
1188,CC(F)(F)CNC1CCN(C(=O)Cn2cc(NC(=O)c3cnn4cccnc34)c(-c3cc(Cl)ccc3OC(F)F)n2)CC1,pKi,9.15,JAK2
3847,CN(c1ncnc2[nH]ccc12)C1CCC(CS(=O)(=O)N2CCCC(C(N)=O)C2)CC1,pIC50,7.69,JAK2
6772,N#CCC(=O)N1CC(F)(F)C12CCN(c1ncnc3[nH]ccc13)C2,pIC50,8.77,JAK2
771,CN(C)CC(C)(C)COC(=O)N1CCC(C#N)C(n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)C1,pIC50,6.35,JAK2
3568,CN(c1ncnc2[nH]ccc12)C1CC(CS(=O)(=O)CC2CC(F)(F)C2)C1,pIC50,6.24,TYK2
8464,N#CCC1(n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)CCC(Nc2ccc(F)c(F)c2)CC1,pIC50,9.1,JAK1
1431,CN(C)C(=O)c1ccc(-c2cc3c(NC4CCC(C)(N)C4(C)C)c(C(N)=O)cnn3c2)cc1,pIC50,9.22,JAK1
807,COCC(C)(C)OC(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)CC1,pIC50,7.4,JAK2
2508,CCOC(=O)C1CCN(CCN2CCN(C(=O)Cn3cc(NC(=O)c4cnn5cccnc45)c(-c4cc(Cl)ccc4OC(F)F)n3)CC2)CC1,pKi,8.74,JAK2
6401,CC(=O)Nc1ccc(-c2nc(Nc3ccc(N4CCOCC4)cc3)ncc2C)cc1,pIC50,6.98,JAK3
5637,CS(=O)(=O)c1ccc(Nc2nn(C3CCCCC3C#N)cc2C(N)=O)cc1F,pIC50,8.0,JAK2
9613,N#CC1CN(C(=O)OCCc2ccccc2)CCC1n1cc(C(N)=O)c(Nc2ccc(F)cc2)n1,pIC50,6.08,JAK2
3499,CN(CCc1ccc(O)cc1)C1CCN(C(=O)Cn2cc(NC(=O)c3cnn4cccnc34)c(-c3cc(Cl)ccc3OC(F)F)n2)CC1,pKi,9.02,JAK1
10123,O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1Nc1cccc(OC2CCN(c3ccnc(F)c3)CC2)c1,pIC50,6.2,JAK3
9661,c1ccc(CN2CCCC(n3cnc4cnc5[nH]ccc5c43)C2)cc1,pKi,7.62,JAK1
1960,CC1CN(C2CCC(n3cc(C(N)=O)c(Nc4ccc(Cl)cc4)n3)C(C#N)C2)C1,pIC50,8.7,JAK1
3114,COc1ccccc1-c1cccn2nc(Nc3ccc4c(c3)CCN(CC(=O)N(C)C)CC4)nc12,pIC50,6.76,JAK1
4282,CN1CCN(c2ccc(Nc3nc4c(-c5ccc(S(C)(=O)=O)cc5)cc(F)cn4n3)cc2)CC1,pIC50,7.5,JAK2
6626,Cn1cc(-c2cnn3c(N)c(-c4ccc(NC(=O)Nc5cccc(C(F)(F)F)c5)cc4)cnc23)cn1,pKi,6.0,JAK3
8217,O=C(NCCc1ccc(Cl)cc1)C1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,pIC50,7.54,JAK2
5665,CS(=O)(=O)c1ccccc1Nc1cccn2nc(Nc3ccc(OCCN4CCCC4)cc3)nc12,pIC50,7.84,JAK2
4297,CN1CCN(c2ccc(Nc3nc4c(NCC5CCCN5S(C)(=O)=O)cccn4n3)cc2)CC1,pIC50,6.79,JAK3
9847,N#CCC1(n2cc(C(N)=O)c(Nc3ccccc3)n2)CCN(C(=O)c2cc3ccccc3[nH]2)CC1,pIC50,6.75,JAK2
8312,O=C(Nc1nc2n(n1)C(c1ccc(CN3CCS(=O)(=O)CC3)cc1)C=CC2)C1CC1,pIC50,6.04,TYK2
6832,O=c1[nH]c(C2CCCCC2)c2c3cc[nH]c3ncn12,pIC50,7.11,TYK2
2650,CCOC(=O)c1c[nH]c2ncnc(-c3ccc4c(c3)OCO4)c12,pIC50,8.42,JAK1
1233,CC(Nc1cc(-c2c(N)nn3cccnc23)ncn1)c1ccc(Cl)cc1,pIC50,7.09,JAK3
4892,C=CC(=O)Nc1cccc(CNc2nc(Nc3cnn(CCOC)c3)ncc2Cl)c1,pIC50,7.46,JAK1
6557,Cn1cc(Nc2ncc(Cl)c(NC3CC4CN(C(=O)CC#N)CC4C3)n2)cn1,pIC50,6.44,JAK3
1679,CC1(CNC2CCC(n3cc(C(N)=O)c(Nc4ccc(Cl)cc4)n3)C(C#N)C2)COC1,pIC50,8.7,JAK1
